model_spec,description,variable,level,reference_group,n_rows_used,average_marginal_effect,average_marginal_effect_pp,median_marginal_effect,min_marginal_effect,max_marginal_effect,direction
05_glm_controlled_core,Research GLM: controlled core model,DIAG_AGE_GROUP,2. 31-40,3. 41-50,307511,0.01852374401538275,1.8523744015382748,0.016775458451362524,0.0,0.061690570346509876,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_AGE_GROUP,4. 51-60,3. 41-50,307511,-0.012693373677327457,-1.2693373677327457,-0.011338238378689816,-0.05069927990007023,0.0,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_AGE_GROUP,5. 61+,3. 41-50,307511,-0.020315383571464594,-2.0315383571464594,-0.01808302144932252,-0.08578057195077776,0.0,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_NAME_CONTRACT_TYPE,Revolving loans,Cash loans,307511,-0.02370452297794713,-2.370452297794713,-0.020760910790559688,-0.09310436382334153,0.0,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_NAME_INCOME_TYPE,Commercial associate,Working,307511,-0.014301372181655258,-1.4301372181655259,-0.012708657912816113,-0.049605725760532404,0.0,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_NAME_INCOME_TYPE,Other rare,Working,307511,0.0851196172608552,8.51196172608552,0.079113453115528,0.0,0.19924865263221264,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_NAME_INCOME_TYPE,Pensioner,Working,307511,-0.01611200349827666,-1.611200349827666,-0.014304577363535555,-0.056471905266967326,0.0,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_NAME_INCOME_TYPE,State servant,Working,307511,-0.02777900729048746,-2.7779007290487456,-0.024515904489652678,-0.10468043634106011,0.0,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_NAME_EDUCATION_TYPE,Academic degree,Secondary / secondary special,307511,-0.07088261389705793,-7.088261389705792,-0.061253802622814185,-0.38127561808176935,0.0,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_NAME_EDUCATION_TYPE,Higher education,Secondary / secondary special,307511,-0.035387592414438604,-3.5387592414438602,-0.03116808591156614,-0.13743678882698712,0.0,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_NAME_EDUCATION_TYPE,Incomplete higher,Secondary / secondary special,307511,-0.021544350381177257,-2.1544350381177257,-0.01910896305524399,-0.07647072449188008,0.0,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_NAME_EDUCATION_TYPE,Lower secondary,Secondary / secondary special,307511,0.02215056763257998,2.2150567632579983,0.020058889039530764,0.0,0.06340224387353527,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_CREDIT_INCOME_GROUP,2. 1x-2x,1. <=1x,307511,0.013269040532350207,1.3269040532350207,0.011635596078874218,0.0,0.051778750898018366,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_CREDIT_INCOME_GROUP,3. 2x-4x,1. <=1x,307511,0.02397898518697738,2.3978985186977377,0.021148922826428836,0.0,0.08797084363540242,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_CREDIT_INCOME_GROUP,4. 4x-6x,1. <=1x,307511,0.016233407852620278,1.6233407852620279,0.014258017673414523,0.0,0.062237739123088553,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_CREDIT_INCOME_GROUP,5. >6x,1. <=1x,307511,0.007683972860251728,0.7683972860251729,0.006717422071822493,0.0,0.031040650266279834,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_ANNUITY_INCOME_GROUP,2. 10-20%,1. <=10%,307511,-0.002257388827975223,-0.2257388827975223,-0.0019738173085958877,-0.00816636734698789,-0.00012892924919007598,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_ANNUITY_INCOME_GROUP,3. 20-30%,1. <=10%,307511,0.00881004079915019,0.8810040799150191,0.007750587054474692,0.0005112503816035018,0.029996649511173257,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_ANNUITY_INCOME_GROUP,4. 30-40%,1. <=10%,307511,0.009924735749174561,0.9924735749174561,0.008736541277944432,0.0005768624672659968,0.033597683209815876,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_ANNUITY_INCOME_GROUP,5. 40-60%,1. <=10%,307511,0.018574853003022203,1.8574853003022203,0.01642751405135201,0.0010932076591735652,0.060239632275961796,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_ANNUITY_INCOME_GROUP,6. 60%+,1. <=10%,307511,0.02354723206005518,2.354723206005518,0.02088014280512386,0.0013958661934798146,0.07460588982378424,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_ANNUITY_INCOME_GROUP,Other rare,1. <=10%,307511,-0.07860433197599472,-7.8604331975994715,-0.06558743682777407,-0.6064084605048998,-0.004026381685324844,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_BUREAU_DEBT_CREDIT_GROUP,25%-50%,No bureau debt,307511,0.019642798544740415,1.9642798544740416,0.01768002911365993,0.0,0.07785407125081167,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_BUREAU_DEBT_CREDIT_GROUP,50%-100%,No bureau debt,307511,0.04674054266181642,4.674054266181642,0.042548269582263265,0.0,0.15978753621083008,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_BUREAU_DEBT_CREDIT_GROUP,<=25%,No bureau debt,307511,0.005738777104416841,0.5738777104416841,0.005134110686303407,0.0,0.02491845519126057,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_BUREAU_DEBT_CREDIT_GROUP,>100%,No bureau debt,307511,0.09822323840923403,9.822323840923403,0.09119480127516612,0.0,0.27185960973412404,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_BUREAU_DEBT_CREDIT_GROUP,No bureau history,No bureau debt,307511,0.03771373873844445,3.771373873844445,0.034204607520387065,0.0,0.13492186039451937,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_PREVIOUS_REFUSAL_GROUP,25%-50% refusal,0% refusal,307511,0.031677921451531414,3.1677921451531414,0.02878878482928901,0.0,0.10242326581015138,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_PREVIOUS_REFUSAL_GROUP,<=25% refusal,0% refusal,307511,0.0076554304122608535,0.7655430412260853,0.006883647121575812,0.0,0.02802778218450147,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_PREVIOUS_REFUSAL_GROUP,>50% refusal,0% refusal,307511,0.06802661821852996,6.802661821852995,0.06276485398945045,0.0,0.18925994188662215,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_PREVIOUS_REFUSAL_GROUP,No previous application,0% refusal,307511,0.001574107642373757,0.1574107642373757,0.0014114912554801518,0.0,0.005978491788948936,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_LATE_PAYMENT_GROUP,Late 10%-30%,No late payment,307511,0.023825862456862825,2.3825862456862823,0.02133204978949709,0.0,0.08130951129550285,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_LATE_PAYMENT_GROUP,Late <=10%,No late payment,307511,0.005837993876549323,0.5837993876549323,0.005182039700760414,0.0,0.021999207460461967,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_LATE_PAYMENT_GROUP,Late >30%,No late payment,307511,0.05430458785099521,5.430458785099521,0.04930054124903808,0.0,0.16147727575706355,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_LATE_PAYMENT_GROUP,No installment history,No late payment,307511,0.005486115602711819,0.548611560271182,0.004868860306536792,0.0,0.020716912090741058,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_CC_UTILIZATION_GROUP,30%-70%,No credit card history,307511,0.012653318379499552,1.2653318379499552,0.011465784842533092,0.0,0.041747758094177634,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_CC_UTILIZATION_GROUP,70%-100%,No credit card history,307511,0.045449485997682525,4.544948599768253,0.04177245943268319,0.0,0.1297296220033008,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_CC_UTILIZATION_GROUP,<=30%,No credit card history,307511,-0.010788272700468183,-1.0788272700468182,-0.00967117675709419,-0.04058542217768146,0.0,Lower predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_CC_UTILIZATION_GROUP,>100%,No credit card history,307511,0.1019024785578892,10.19024785578892,0.09576338119989458,0.0,0.2408965436182695,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_CC_UTILIZATION_GROUP,Unknown,No credit card history,307511,0.03366490890798564,3.366490890798564,0.03078740938374082,0.0,0.10082543176218134,Higher predicted default probability
05_glm_controlled_core,Research GLM: controlled core model,DIAG_CC_UTILIZATION_GROUP,Zero/no utilization,No credit card history,307511,-0.022610074129764943,-2.261007412976494,-0.02015505113543698,-0.09204606981448632,0.0,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_AGE_GROUP,1. <=30,3. 41-50,307511,0.03451884572126992,3.4518845721269917,0.0314838884248162,0.0,0.10660106816453307,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_AGE_GROUP,2. 31-40,3. 41-50,307511,0.01840332260110431,1.8403322601104308,0.016671187342945232,0.0,0.06130601242545225,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_AGE_GROUP,4. 51-60,3. 41-50,307511,-0.01269450324421329,-1.2694503244213289,-0.011341404710837596,-0.05070896389778545,0.0,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_AGE_GROUP,5. 61+,3. 41-50,307511,-0.020258887136628698,-2.02588871366287,-0.01803593608355209,-0.0854613676665511,0.0,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_NAME_CONTRACT_TYPE,Revolving loans,Cash loans,307511,-0.023553192424033868,-2.355319242403387,-0.02057932550682586,-0.09245676783700951,0.0,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_NAME_INCOME_TYPE,Commercial associate,Working,307511,-0.014352981678873864,-1.4352981678873864,-0.012733273537828445,-0.0498155056608694,0.0,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_NAME_INCOME_TYPE,Other rare,Working,307511,0.08258790396448411,8.258790396448411,0.07659862394710637,0.0,0.19484074542450508,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_NAME_INCOME_TYPE,Pensioner,Working,307511,-0.016117800197910835,-1.6117800197910834,-0.014286049386318986,-0.056513443821162745,0.0,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_NAME_INCOME_TYPE,State servant,Working,307511,-0.027702737100427765,-2.7702737100427766,-0.024407272607436248,-0.10437315583132473,0.0,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_NAME_EDUCATION_TYPE,Academic degree,Secondary / secondary special,307511,-0.07081361459390255,-7.081361459390255,-0.06117882150945993,-0.38407661179786345,0.0,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_NAME_EDUCATION_TYPE,Higher education,Secondary / secondary special,307511,-0.03541415932303682,-3.541415932303682,-0.031188343050689092,-0.13766194658866443,0.0,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_NAME_EDUCATION_TYPE,Incomplete higher,Secondary / secondary special,307511,-0.02165681399877588,-2.1656813998775877,-0.01920731149646456,-0.07694242163519882,0.0,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_NAME_EDUCATION_TYPE,Lower secondary,Secondary / secondary special,307511,0.022192507870461998,2.2192507870462,0.020100871281290428,0.0,0.06353542973151322,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_CREDIT_INCOME_GROUP,2. 1x-2x,1. <=1x,307511,0.013299640774921144,1.3299640774921144,0.011657497844992176,0.0,0.05203670748848316,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_CREDIT_INCOME_GROUP,3. 2x-4x,1. <=1x,307511,0.024095991002114077,2.4095991002114077,0.021245376864549234,0.0,0.08857522239712068,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_CREDIT_INCOME_GROUP,4. 4x-6x,1. <=1x,307511,0.016520794653715965,1.6520794653715964,0.014506578593479647,0.0,0.06340503900829447,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_CREDIT_INCOME_GROUP,5. >6x,1. <=1x,307511,0.008107223449404757,0.8107223449404757,0.007085762673675382,0.0,0.032766186640600936,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_ANNUITY_INCOME_GROUP,2. 10-20%,1. <=10%,307511,-0.0024153661708340057,-0.24153661708340057,-0.002103394857489102,-0.008732199218618564,-0.00013848229248917404,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_ANNUITY_INCOME_GROUP,3. 20-30%,1. <=10%,307511,0.008529309820062187,0.8529309820062188,0.007473449692703596,0.0004967989160820268,0.029042779057205648,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_ANNUITY_INCOME_GROUP,4. 30-40%,1. <=10%,307511,0.009589400561301526,0.9589400561301525,0.00840724691549434,0.0005594015450332366,0.032473566652320485,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_ANNUITY_INCOME_GROUP,5. 40-60%,1. <=10%,307511,0.018217065990216327,1.8217065990216326,0.01604704140470571,0.001076060272895231,0.059105374275561506,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_ANNUITY_INCOME_GROUP,6. 60%+,1. <=10%,307511,0.022760193577474275,2.2760193577474275,0.020098265810429755,0.0013533149082914702,0.07228657263642435,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_ANNUITY_INCOME_GROUP,Other rare,1. <=10%,307511,-0.07877824121611501,-7.877824121611502,-0.06541622918446016,-0.5990771007592105,-0.004049063168434204,Lower predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_BUREAU_DEBT_CREDIT_GROUP,25%-50%,No bureau debt,307511,0.019679403886192985,1.9679403886192985,0.01764104812784588,0.0,0.07798801957205898,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_BUREAU_DEBT_CREDIT_GROUP,50%-100%,No bureau debt,307511,0.04667682804962154,4.667682804962154,0.0423262447681681,0.0,0.15965916057892432,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_BUREAU_DEBT_CREDIT_GROUP,<=25%,No bureau debt,307511,0.005747646432761525,0.5747646432761525,0.005120437097227336,0.0,0.024941920948674645,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_BUREAU_DEBT_CREDIT_GROUP,>100%,No bureau debt,307511,0.0971825650149917,9.71825650149917,0.08988680453656052,0.0,0.270035760944155,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_BUREAU_DEBT_CREDIT_GROUP,No bureau history,No bureau debt,307511,0.037562045953118746,3.756204595311875,0.03393153441452701,0.0,0.13448354519731748,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_PREVIOUS_REFUSAL_GROUP,25%-50% refusal,0% refusal,307511,0.03158293790537457,3.1582937905374573,0.02868349790788545,0.0,0.10223112993446953,Higher predicted default probability
06_glm_controlled_plus_underpayment_sensitivity,Research GLM: core plus underpayment sensitivity,DIAG_PREVIOUS_REFUSAL_GROUP,<=25% refusal,0% refusal,307511,0.007720148725983676,0.7720148725983677,0.0069368011726638895,0.0,0.028242350235065827,Higher predicted default probability
