calibration_bin,customer_count,observed_defaults,observed_default_rate,expected_defaults,mean_predicted_probability,min_predicted_probability,max_predicted_probability,model_id,model_label,calibration_gap,abs_calibration_gap,weighted_abs_gap,observed_non_defaults,expected_non_defaults,hl_component_default,hl_component_non_default,hl_component_total
3,7688,331,0.04305411030176899,329.57975556415164,0.04286937507338081,0.03865269965340738,0.047164789985836904,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.00018473522838818174,0.00018473522838818174,1.8474003432039612e-05,7357,7358.420244435848,0.006120200720761462,0.0002741205572054778,0.00639432127796694
4,7687,379,0.04930401977364381,394.9338793640147,0.05137685434682122,0.047165746569676495,0.05570039581618344,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,0.002072834573177404,0.002072834573177404,0.00020726188719808923,7308,7292.0661206359855,0.6428633370101886,0.03481708851603079,0.6776804255262194
5,7688,474,0.06165452653485952,463.77712226365503,0.06032480778663567,0.05570075121126142,0.06527387656871284,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.0013297187482238515,0.0013297187482238515,0.0001329753341182779,7214,7224.222877736345,0.22533933692533556,0.01446622439270527,0.23980556131804082
6,7688,514,0.06685744016649324,545.9660811752643,0.07101535915391055,0.06527481561392294,0.07726111263134998,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,0.004157918987417311,0.004157918987417311,0.0004158027156698183,7174,7142.033918824735,1.8716004179272296,0.1430727377267364,2.014673155653966
7,7687,629,0.08182646025757773,648.53844742478,0.08436821223166124,0.07726201384782991,0.09214708456400354,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,0.002541751974083517,0.002541751974083517,0.0002541487476882853,7058,7038.46155257522,0.5886326852111256,0.0542378366237116,0.6428705218348372
8,7688,776,0.10093652445369407,784.0773349375626,0.10198716635504196,0.09214708456400354,0.11326207300656531,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,0.0010506419013478902,0.0010506419013478902,0.0001050669234054291,6912,6903.922665062438,0.08321033753472944,0.009450184027077872,0.0926605215618073
9,7688,1054,0.13709677419354838,991.3949481803179,0.12895355725550442,0.11326207300656531,0.14902957058669153,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.008143216938043957,0.008143216938043957,0.0008143428785827147,6634,6696.605051819683,3.953411826976808,0.5852805239394442,4.538692350916252
10,7688,1592,0.20707596253902186,1572.2597323857083,0.20450828985245945,0.14902976383077887,0.740387271673643,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.002567672686562411,0.002567672686562411,0.00025677394851962614,6096,6115.740267614292,0.24784592358179827,0.06371725227562855,0.3115631758574268
1,7688,184,0.023933402705515087,1640.9921440275723,0.2134485098891223,0.06760935552800452,0.2585890188400333,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.18951510718360723,0.18951510718360723,0.01895200374655392,7504,6047.007855972428,1293.6235651601633,351.05396889158425,1644.6775340517474
2,7688,267,0.03472944849115505,2201.557881556263,0.2863628878194931,0.25861029251756495,0.31199149467548165,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.25163343932833804,0.25163343932833804,0.025163998563389564,7421,5486.442118443737,1699.9390424585176,682.138645828339,2382.0776882868568
3,7688,327,0.04253381893860562,2580.5252347797814,0.33565624802026295,0.31200956095638627,0.35814831501801636,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.2931224290816573,0.2931224290816573,0.029313005473344537,7361,5107.474765220219,1967.962147915474,994.302706764193,2962.2648546796668
4,7687,399,0.051905815012358525,2915.833922238749,0.3793201407881812,0.358156903341806,0.39990319511003436,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.3274143257758227,0.3274143257758227,0.03273802547203035,7288,4771.166077761251,2172.4327108678335,1327.6530074389366,3500.08571830677
