calibration_bin,customer_count,observed_defaults,observed_default_rate,expected_defaults,mean_predicted_probability,min_predicted_probability,max_predicted_probability,model_id,model_label,calibration_gap,abs_calibration_gap,weighted_abs_gap
3,7688,532,0.0691987513007284,523.5700643366697,0.06810224562131499,0.06331195124205037,0.06933600168130452,spec::04_payment_behavior_only,04_payment_behavior_only,-0.001096505679413412,0.001096505679413412,0.0001096534205277233
4,7687,531,0.06907766358787563,532.9858449241879,0.06933600168130452,0.06933600168130452,0.06933600168130452,spec::04_payment_behavior_only,04_payment_behavior_only,0.00025833809342888647,0.00025833809342888647,2.5831121051378164e-05
5,7688,540,0.07023933402705515,533.0551809258692,0.06933600168130452,0.06933600168130452,0.06933600168130452,spec::04_payment_behavior_only,04_payment_behavior_only,-0.0009033323457506293,0.0009033323457506293,9.033558461628603e-05
6,7688,524,0.06815816857440167,534.8496129236121,0.06956940854885693,0.06933600168130452,0.07032048600074992,spec::04_payment_behavior_only,04_payment_behavior_only,0.0014112399744552612,0.0014112399744552612,0.00014112766882088567
7,7687,595,0.07740340835176272,605.2502266669559,0.07873685789865434,0.07032048600074992,0.0866899554238474,spec::04_payment_behavior_only,04_payment_behavior_only,0.0013334495468916158,0.0013334495468916158,0.00013333107868253403
8,7688,691,0.08988033298647242,710.9288562591138,0.09247253593380772,0.0866899554238474,0.09875841500098294,spec::04_payment_behavior_only,04_payment_behavior_only,0.0025922029473352953,0.0025922029473352953,0.0002592270384129888
9,7688,776,0.10093652445369407,805.6156373273656,0.10478871453269584,0.09875841500098294,0.1203684752045607,spec::04_payment_behavior_only,04_payment_behavior_only,0.003852190079001769,0.003852190079001769,0.00038522902946702047
10,7688,1153,0.14997398543184184,1107.2688286372363,0.14402560205999432,0.1203684752045607,0.35224726059851735,spec::04_payment_behavior_only,04_payment_behavior_only,-0.0059483833718475265,0.0059483833718475265,0.0005948538120497904
1,7688,193,0.025104058272632675,181.86355475728737,0.023655509203601377,0.0069198655520373124,0.02995887695496843,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,-0.0014485490690312984,0.0014485490690312984,0.00014485867533901275
2,7688,263,0.03420915712799168,264.3290410408904,0.03438202927170791,0.029960675246397,0.03861715974378762,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,0.00017287214371623089,0.00017287214371623089,1.7287664102739183e-05
3,7688,333,0.043314255983350675,328.88457344491763,0.04277895076026504,0.03862033316559483,0.047037416905305295,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,-0.0005353052230856331,0.0005353052230856331,5.353191491821259e-05
4,7687,379,0.04930401977364381,393.9873400040159,0.05125371926681617,0.0470393149803932,0.05556784882335566,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,0.0019496994931723563,0.0019496994931723563,0.00019494966055329097
5,7688,481,0.06256503642039542,463.06174579022536,0.06023175673650174,0.05556855750152027,0.06510835899296454,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,-0.0023332796838936784,0.0023332796838936784,0.00023333403847361532
6,7688,503,0.06542663891779396,545.1434169494863,0.0709083528810466,0.06511050269168736,0.07708988416576112,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,0.0054817139632526435,0.0054817139632526435,0.0005481856571384053
